title,site_url,storename,address,area,opening_hours,cuisine
Sally Roast Meat Rice - Crispy Roasted Pork Belly & Charcoal Roasted Char Siu Hidden in Northstar @ AMK!,https://www.misstamchiak.com/sally-roast-meat-rice/,Sally Roast Meat Rice,"7030 Northstar @ AMK Ave 5, Singapore 569880",,9.30am to 3pm daily.,
"Maddie’s Kitchen - Mouth-Watering Beef Hor Fun, Oyster Omelette & Affordable Zi Char in Far East Plaza! - Miss Tam Chiak",https://www.misstamchiak.com/maddies-kitchen/,Maddie's Kitchen,"14 Scotts Road, Far East Plaza #02-10/11/12/13, Singapore 228213",South,11am to 9pm daily.,Chinese
The Baba Curry Puff Cafe – Delicious Handmade Curry Puffs in Potong Pasir! - Miss Tam Chiak,https://www.misstamchiak.com/the-baba-curry-puff-cafe/,The Baba Curry Puff Cafe,"137 Potong Pasir Ave 3, Singapore 350137",Central,7.30am to 2pm daily.,
The Gyu Co – Ex-DB Bistro & Oyster Bar Chef Sells Affordable Wagyu Dons From $9.90 in Jurong - Miss Tam Chiak,https://www.misstamchiak.com/the-gyu-co/,The Gyu Co,"2 Venture Dr, #02-35 Vision Exchange, Singapore 608526",West,"11.30am to 2pm, 5pm to 9pm from Monday to Saturday, closed on Sundays.",Japanese
Taokingu Ramen - Fragrant Japanese-Inspired Fried Rice at This Newly-Opened Stall in Woodlands!,https://www.misstamchiak.com/taokingu-ramen/,Taokingu Ramen,"Blk 785E, Woodlands Rise, #01-16, Singapore 735785",,10am to 10pm daily.,
Hui Wei - Second Outlet in Woodlands Selling Lor Mee & Prawn Noodles,https://www.misstamchiak.com/hui-wei/,Hui Wei,"Blk 785E, Woodlands Rise, Singapore 735785",,7.30am to 2.30pm daily.,
Jian Zao Ipoh Curry Noodles - Slurp Up Robust Bowls of Curry Noodles in Ang Mo Kio! - Miss Tam Chiak,https://www.misstamchiak.com/jian-zao-ipoh-curry-noodles/,Jian Zao Ipoh Curry Noodles,"Blk 332, Ang Mo Kio Ave 1, Singapore 560332",Ang Mo Kio,8.30am to 7.30pm daily.,
Chao Zhou 潮粥 Teochew Fish Soup - Fish Soup in Traditional Chaozhou-Style Claypots in Ang Mo Kio,https://www.misstamchiak.com/chao-zhou-ang-mo-kio/,Chao Zhou 潮粥 Teochew Fish Soup,"Blk 332, Ang Mo Kio Ave 1, Singapore 560332",Ang Mo Kio,11am to 8pm daily.,
Sen Gen Wanton Noodle - Old-School KL-Style Wanton Noodles in a Quiet Coffeeshop in Tai Seng,https://www.misstamchiak.com/sen-gen-wanton-noodle/,Sen Gen Wanton Noodle,"Rinting Berjaya Eating House, 105 Upper Paya Lebar Road, Singapore 534828",,"6.35am to 2pm Monday to Friday, 6.35am to 12pm Saturday to Sunday.",
Jue Dai Lor Mee – Starchy Goodness in Ci Yuan Hawker Centre - Miss Tam Chiak,https://www.misstamchiak.com/jue-dai-lor-mee/,Jue Dai Lor Mee,"51 Hougang Ave 9, #01-13, Ci Yuan Hawker Centre, Singapore 538776",North-East,8am to 9.45pm daily.,
Yun Heng Authentic Ipoh Shredded Chicken Hor Fun - Little-Known Eatery Hidden in Lucky Plaza,https://www.misstamchiak.com/yun-heng-authentic-ipoh-shredded-chicken-hor-fun/,Yun Heng Authentic Ipoh Shredded Chicken Hor Fun,"304 Orchard Rd, #02-62, Lucky Plaza, Singapore 238863",,"8.30am to 5.30pm, Monday to Saturday.",
Johor Road Boon Kee Pork Porridge - Delicious Hainanese-Style Porridge at Jalan Besar,https://www.misstamchiak.com/johor-road-boon-kee-pork-porridge/,Johor Road Boon Kee Pork Porridge,"Yi He Eating House, 638 Veerasamy Rd, Singapore 200638",Jalan Besar,"6.45am to 2pm, Tuesday to Sunday.",
Pang's Kitchen - Lok Lok Stall With Homestyle Seafood & Deep-Fried Munchies in Bukit Batok West,https://www.misstamchiak.com/pangs-kitchen/,Pang's Kitchen,"Blk 451, Bukit Batok West Ave 6, Singapore 650451",,11am to 10.15pm daily.,
Feng Xiang Bak Kut Teh @ Beauty World Centre - The Wok Hei is Strong in This Fried Porridge!,https://www.misstamchiak.com/feng-xiang-bak-kut-teh/,Feng Xiang Bak Kut Teh,"144 Upper Bukit Timah Road, #04-65, Beauty World Centre, Singapore 588177",,"10:30am to 3pm, 4.30pm to 8:00pm, Monday to Friday, 9.00am to 3pm, 4.30pm to 8:00pm, Saturday to Sunday",
Friends Cafe HK – Homey Retro Cha Chaan Teng Selling Affordable Hong Kong Food at Springside Walk - Miss Tam Chiak,https://www.misstamchiak.com/friends-cafe-hk/,Friends Cafe HK,"60 Springside Walk, #01-18, Singapore 786020",North,"11.30am-2.30pm, 5.30pm-8.30pm, Mon to Sunday. Closed on Tuesdays.",Hong Kong
Xiao Mei Ban Mian - Myanmar-Style Noodles by a Former Software Engineer in Woodlands!,https://www.misstamchiak.com/xiao-mei-ban-mian/,Xiao Mei Ban Mian,"892C Woodlands Drive 50, #01-02, Singapore 732892",Woodlands,9am to 9pm daily.,
Tea & Dine Chin Lee – Popular Teochew Restaurant Opens a New Outlet in Canberra - Miss Tam Chiak,https://www.misstamchiak.com/chin-lee-teochew-canberra/,Tea & Dine Chin Lee 深利喫茶添味,"133 Canberra View, Canberra Plaza #02-01/03, Singapore 750133",,"Mondays to Fridays 11:30am–2:30pm, 5:30–10pm. Saturdays & Sundays 11:30am–10pm",
